image,target,binary_target,fold
57594_000923_Endzone_39_0.png,0,0,1
57594_000923_Endzone_39_1.png,0,0,1
57594_000923_Endzone_39_2.png,0,0,1
57594_000923_Endzone_39_3.png,0,0,1
57594_000923_Endzone_39_4.png,1,1,1
57594_000923_Endzone_39_5.png,0,0,1
57594_000923_Endzone_39_6.png,0,0,1
57594_000923_Endzone_39_7.png,0,0,1
57594_000923_Endzone_39_8.png,0,0,1
57594_000923_Endzone_39_9.png,0,0,1
57594_000923_Endzone_39_10.png,0,0,1
57594_000923_Endzone_39_11.png,0,0,1
57594_000923_Endzone_39_12.png,1,1,1
57594_000923_Endzone_39_13.png,0,0,1
57594_000923_Endzone_39_14.png,0,0,1
57594_000923_Endzone_39_15.png,0,0,1
57594_000923_Endzone_39_16.png,0,0,1
57594_000923_Endzone_49_0.png,0,0,1
57594_000923_Endzone_49_1.png,0,0,1
57594_000923_Endzone_49_2.png,1,1,1
57594_000923_Endzone_49_3.png,1,1,1
57594_000923_Endzone_49_4.png,0,0,1
57594_000923_Endzone_49_5.png,0,0,1
57594_000923_Endzone_49_6.png,0,0,1
57594_000923_Endzone_49_7.png,0,0,1
57594_000923_Endzone_49_8.png,0,0,1
57594_000923_Endzone_49_9.png,0,0,1
57594_000923_Endzone_49_10.png,0,0,1
57594_000923_Endzone_49_11.png,0,0,1
57594_000923_Endzone_49_12.png,0,0,1
57594_000923_Endzone_49_13.png,0,0,1
57594_000923_Endzone_49_14.png,0,0,1
57594_000923_Endzone_49_15.png,0,0,1
57594_000923_Endzone_107_0.png,0,0,1
57594_000923_Endzone_107_1.png,0,0,1
57594_000923_Endzone_107_2.png,1,1,1
57594_000923_Endzone_107_3.png,0,0,1
57594_000923_Endzone_107_4.png,0,0,1
57594_000923_Endzone_107_5.png,0,0,1
57594_000923_Endzone_107_6.png,1,1,1
57594_000923_Endzone_107_7.png,0,0,1
57594_000923_Endzone_107_8.png,0,0,1
57594_000923_Endzone_107_9.png,0,0,1
57594_000923_Endzone_107_10.png,0,0,1
57594_000923_Endzone_107_11.png,0,0,1
57594_000923_Endzone_107_12.png,0,0,1
57594_000923_Endzone_107_13.png,0,0,1
57594_000923_Endzone_107_14.png,1,1,1
57594_000923_Endzone_107_15.png,0,0,1
57594_000923_Endzone_107_16.png,1,1,1
57594_000923_Endzone_111_0.png,0,0,1
57594_000923_Endzone_111_1.png,0,0,1
57594_000923_Endzone_111_2.png,0,0,1
57594_000923_Endzone_111_3.png,0,0,1
57594_000923_Endzone_111_4.png,0,0,1
57594_000923_Endzone_111_5.png,0,0,1
57594_000923_Endzone_111_6.png,0,0,1
57594_000923_Endzone_111_7.png,1,1,1
57594_000923_Endzone_111_8.png,1,1,1
57594_000923_Endzone_111_9.png,0,0,1
57594_000923_Endzone_111_10.png,0,0,1
57594_000923_Endzone_111_11.png,0,0,1
57594_000923_Endzone_111_12.png,0,0,1
57594_000923_Endzone_111_13.png,0,0,1
57594_000923_Endzone_111_14.png,0,0,1
57594_000923_Endzone_111_15.png,0,0,1
57594_000923_Endzone_111_16.png,0,0,1
57594_000923_Endzone_152_0.png,0,0,1
57594_000923_Endzone_152_1.png,0,0,1
57594_000923_Endzone_152_2.png,0,0,1
